epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67893,1.02548,3.72615,1.48784,0.5919,0.85,0.84839,0.6323,1.64423,1.0496,1.37535,1.19e-06,1.19e-06,1.19e-06
2,5.05559,1.53931,3.34072,1.80061,0.59895,0.85,0.85046,0.65035,1.65547,1.05098,1.37563,3.21657e-06,3.21657e-06,3.21657e-06
3,7.58677,0.97281,3.08017,1.29376,0.59895,0.85,0.85046,0.65035,1.65547,1.05098,1.37563,4.7719e-06,4.7719e-06,4.7719e-06
4,10.1643,1.29288,2.64245,1.47782,0.61436,0.85,0.8621,0.63494,1.62379,1.02866,1.34543,5.85599e-06,5.85599e-06,5.85599e-06
5,12.7199,0.89378,2.80899,1.16775,0.61436,0.85,0.8621,0.63494,1.62379,1.02866,1.34543,6.46884e-06,6.46884e-06,6.46884e-06
6,15.0497,1.46942,4.75708,1.71459,0.65973,0.85,0.8205,0.61599,1.56618,1.00603,1.31335,6.61045e-06,6.61045e-06,6.61045e-06
7,17.5184,1.38159,2.51765,1.55017,0.65973,0.85,0.8205,0.61599,1.56618,1.00603,1.31335,6.28082e-06,6.28082e-06,6.28082e-06
8,19.8648,1.25652,2.73858,1.52581,0.65973,0.85,0.8205,0.61599,1.56618,1.00603,1.31335,5.47995e-06,5.47995e-06,5.47995e-06
9,22.222,1.41312,2.0135,1.50174,0.66206,0.85,0.82418,0.62066,1.52779,1.01078,1.29864,4.20784e-06,4.20784e-06,4.20784e-06
10,24.5363,1.30509,3.27312,1.459,0.66206,0.85,0.82418,0.62066,1.52779,1.01078,1.29864,2.46449e-06,2.46449e-06,2.46449e-06
